,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match,contry
0,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0,Namibia VS Sri Lanka,Sri Lanka
2,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0,Namibia VS Sri Lanka,Sri Lanka
4,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0,Namibia VS Sri Lanka,Sri Lanka
6,Chamika Karunaratne,4,0,36,1,9.00,7,3,1,1,0,Namibia VS Sri Lanka,Sri Lanka
8,Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,0,0,Namibia VS Sri Lanka,Sri Lanka
0,Gerhard Erasmus,1,0,8,0,8.00,1,1,0,0,0,Namibia VS Sri Lanka,Namibia
1,David Wiese,4,0,16,2,4.00,13,1,0,0,0,Namibia VS Sri Lanka,Namibia
3,Bernard Scholtz,4,0,18,2,4.50,10,1,0,0,0,Namibia VS Sri Lanka,Namibia
5,Ben Shikongo,3,1,22,2,7.33,6,3,0,0,0,Namibia VS Sri Lanka,Namibia
7,JJ Smit,3,0,16,1,5.33,7,0,0,1,0,Namibia VS Sri Lanka,Namibia
9,Jan Frylinck,4,0,26,2,6.50,10,0,2,1,0,Namibia VS Sri Lanka,Namibia
0,Fred Klaassen,4,0,13,2,3.25,18,0,0,3,0,United Arab Emirates VS Netherlands,Netherlands
2,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0,United Arab Emirates VS Netherlands,Netherlands
4,Logan van Beek,2,0,19,0,9.50,5,0,2,1,0,United Arab Emirates VS Netherlands,Netherlands
5,Bas de Leede,3,0,19,3,6.33,9,2,0,2,0,United Arab Emirates VS Netherlands,Netherlands
7,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0,United Arab Emirates VS Netherlands,Netherlands
8,Roelof van der Merwe,3,0,19,1,6.33,7,0,1,0,0,United Arab Emirates VS Netherlands,Netherlands
0,Junaid Siddique,4,0,24,3,6.00,10,2,0,1,0,United Arab Emirates VS Netherlands,United Arab Emirates
2,Basil Hameed,1,0,7,1,7.00,4,0,1,0,0,United Arab Emirates VS Netherlands,United Arab Emirates
4,Aayan Afzal Khan,3,0,15,1,5.00,8,1,0,0,0,United Arab Emirates VS Netherlands,United Arab Emirates
6,Karthik Meiyappan,4,0,22,1,5.50,11,2,0,0,0,United Arab Emirates VS Netherlands,United Arab Emirates
8,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0,United Arab Emirates VS Netherlands,United Arab Emirates
10,Zawar Farid,2.5,0,24,0,8.47,2,2,0,0,0,United Arab Emirates VS Netherlands,United Arab Emirates
11,Kashif Daud,1,0,5,0,5.00,1,0,0,0,0,United Arab Emirates VS Netherlands,United Arab Emirates
0,Kyle Mayers,2,0,24,0,12.00,5,5,0,2,0,Scotland VS West Indies,West Indies
1,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0,Scotland VS West Indies,West Indies
2,Alzarri Joseph,4,0,28,2,7.00,9,3,0,2,0,Scotland VS West Indies,West Indies
4,Obed McCoy,3,0,25,0,8.33,6,4,0,0,0,Scotland VS West Indies,West Indies
5,Jason Holder,3,0,14,2,4.66,8,1,0,0,0,Scotland VS West Indies,West Indies
7,Odean Smith,4,0,31,1,7.75,6,3,0,1,0,Scotland VS West Indies,West Indies
0,Mark Watt,4,0,12,3,3.00,16,1,0,1,0,Scotland VS West Indies,Scotland
2,Brad Wheal,4,0,32,2,8.00,10,4,1,0,0,Scotland VS West Indies,Scotland
4,Josh Davey,3,0,34,1,11.33,8,4,2,1,0,Scotland VS West Indies,Scotland
6,Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,2,0,Scotland VS West Indies,Scotland
8,Michael Leask,4,0,15,2,3.75,11,0,0,1,0,Scotland VS West Indies,Scotland
0,Josh Little,4,0,24,3,6.00,11,3,0,0,0,Zimbabwe VS Ireland,Ireland
2,Mark Adair,4,0,39,2,9.75,6,3,1,2,0,Zimbabwe VS Ireland,Ireland
4,Barry McCarthy,4,0,24,0,6.00,11,2,0,2,0,Zimbabwe VS Ireland,Ireland
5,Curtis Campher,3,0,29,0,9.66,6,2,2,0,0,Zimbabwe VS Ireland,Ireland
6,Simi Singh,3,0,31,2,10.33,5,2,2,1,0,Zimbabwe VS Ireland,Ireland
8,Gareth Delany,2,0,21,0,10.50,4,2,1,1,0,Zimbabwe VS Ireland,Ireland
0,Richard Ngarava,4,0,22,2,5.50,13,3,0,0,0,Zimbabwe VS Ireland,Zimbabwe
2,Tendai Chatara,4,0,22,2,5.50,13,1,1,2,0,Zimbabwe VS Ireland,Zimbabwe
4,Blessing Muzarabani,4,0,23,3,5.75,14,0,2,0,1,Zimbabwe VS Ireland,Zimbabwe
6,Luke Jongwe,2,0,24,0,12.00,1,4,0,0,0,Zimbabwe VS Ireland,Zimbabwe
7,Sean Williams,3,0,20,1,6.66,3,0,0,0,0,Zimbabwe VS Ireland,Zimbabwe
9,Sikandar Raza,3,0,22,1,7.33,8,1,1,1,0,Zimbabwe VS Ireland,Zimbabwe
0,Fred Klaassen,3,0,15,0,5.00,11,1,0,0,0,Namibia VS Netherlands,Netherlands
1,Tim Pringle,3,0,15,1,5.00,8,0,0,0,0,Namibia VS Netherlands,Netherlands
3,Bas de Leede,3,0,18,2,6.00,6,1,0,0,0,Namibia VS Netherlands,Netherlands
5,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0,Namibia VS Netherlands,Netherlands
7,Paul van Meekeren,4,0,18,1,4.50,11,1,0,1,0,Namibia VS Netherlands,Netherlands
9,Timm van der Gugten,3,0,29,0,9.66,4,1,1,2,0,Namibia VS Netherlands,Netherlands
10,Roelof van der Merwe,1,0,6,1,6.00,1,0,0,1,0,Namibia VS Netherlands,Netherlands
0,Bernard Scholtz,4,0,21,1,5.25,10,0,1,0,0,Namibia VS Netherlands,Namibia
2,David Wiese,2.3,0,22,0,8.80,4,3,0,0,0,Namibia VS Netherlands,Namibia
3,Gerhard Erasmus,3,0,13,0,4.33,8,0,0,1,0,Namibia VS Netherlands,Namibia
4,Ben Shikongo,1,0,18,0,18.00,1,0,2,1,0,Namibia VS Netherlands,Namibia
5,JJ Smit,4,0,24,2,6.00,9,2,0,0,0,Namibia VS Netherlands,Namibia
7,Jan Frylinck,4,1,16,1,4.00,11,1,0,0,0,Namibia VS Netherlands,Namibia
9,Jan Nicol Loftie-Eaton,1,0,8,0,8.00,2,1,0,0,1,Namibia VS Netherlands,Namibia
0,Junaid Siddique,4,0,36,0,9.00,8,2,1,2,0,Sri Lanka VS United Arab Emirates,United Arab Emirates
1,Kashif Daud,1,0,14,0,14.00,0,2,0,0,0,Sri Lanka VS United Arab Emirates,United Arab Emirates
2,Zahoor Khan,4,0,26,2,6.50,10,3,0,0,0,Sri Lanka VS United Arab Emirates,United Arab Emirates
4,Aayan Afzal Khan,3,0,16,1,5.33,7,1,0,0,0,Sri Lanka VS United Arab Emirates,United Arab Emirates
6,Aryan Lakra,3,0,24,1,8.00,5,3,0,0,0,Sri Lanka VS United Arab Emirates,United Arab Emirates
8,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0,Sri Lanka VS United Arab Emirates,United Arab Emirates
10,Basil Hameed,1,0,13,0,13.00,1,1,1,0,0,Sri Lanka VS United Arab Emirates,United Arab Emirates
0,Pramod Madushan,3,0,14,1,4.66,12,2,0,1,0,Sri Lanka VS United Arab Emirates,Sri Lanka
2,Maheesh Theekshana,3.1,0,15,2,4.73,10,2,0,0,0,Sri Lanka VS United Arab Emirates,Sri Lanka
4,Dushmantha Chameera,3.5,0,15,3,3.91,16,0,1,0,0,Sri Lanka VS United Arab Emirates,Sri Lanka
6,Chamika Karunaratne,2,0,14,0,7.00,5,2,0,0,0,Sri Lanka VS United Arab Emirates,Sri Lanka
7,Wanindu Hasaranga de Silva,4,1,8,3,2.00,17,0,0,0,0,Sri Lanka VS United Arab Emirates,Sri Lanka
9,Dasun Shanaka,1.1,0,7,1,6.00,3,0,0,1,0,Sri Lanka VS United Arab Emirates,Sri Lanka
0,Josh Little,4,0,30,1,7.50,10,2,1,1,0,Scotland VS Ireland,Ireland
2,Mark Adair,4,0,23,1,5.75,12,2,0,2,0,Scotland VS Ireland,Ireland
4,Barry McCarthy,4,0,59,0,14.75,4,6,3,1,1,Scotland VS Ireland,Ireland
5,Gareth Delany,3,0,28,0,9.33,3,2,1,0,0,Scotland VS Ireland,Ireland
6,Simi Singh,2,0,16,0,8.00,2,2,0,0,0,Scotland VS Ireland,Ireland
7,Curtis Campher,2,0,9,2,4.50,7,1,0,0,0,Scotland VS Ireland,Ireland
9,George Dockrell,1,0,9,0,9.00,1,1,0,0,0,Scotland VS Ireland,Ireland
0,Mark Watt,4,0,39,1,9.75,10,2,1,2,0,Scotland VS Ireland,Scotland
2,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0,Scotland VS Ireland,Scotland
4,Josh Davey,4,0,46,0,11.50,5,8,0,1,0,Scotland VS Ireland,Scotland
5,Safyaan Sharif,3,0,32,1,10.66,3,4,0,1,0,Scotland VS Ireland,Scotland
7,Chris Greaves,2,0,18,0,9.00,1,0,1,1,0,Scotland VS Ireland,Scotland
8,Michael Leask,2,0,16,1,8.00,2,1,0,0,0,Scotland VS Ireland,Scotland
0,Richard Ngarava,3,0,20,0,6.66,9,1,1,1,0,West Indies VS Zimbabwe,Zimbabwe
1,Tendai Chatara,3,0,22,0,7.33,5,2,0,2,0,West Indies VS Zimbabwe,Zimbabwe
2,Blessing Muzarabani,4,0,38,2,9.50,10,2,2,2,1,West Indies VS Zimbabwe,Zimbabwe
4,Ryan Burl,3,0,27,0,9.00,5,3,1,0,0,West Indies VS Zimbabwe,Zimbabwe
5,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0,West Indies VS Zimbabwe,Zimbabwe
7,Sean Williams,3,0,17,1,5.66,7,1,0,0,1,West Indies VS Zimbabwe,Zimbabwe
0,Kyle Mayers,1,0,17,0,17.00,3,3,0,1,0,West Indies VS Zimbabwe,West Indies
1,Akeal Hosein,4,0,25,1,6.25,12,1,1,1,1,West Indies VS Zimbabwe,West Indies
3,Alzarri Joseph,4,0,16,4,4.00,16,1,1,0,0,West Indies VS Zimbabwe,West Indies
5,Obed McCoy,3,0,19,1,6.33,9,3,0,0,0,West Indies VS Zimbabwe,West Indies
7,Jason Holder,3.2,0,12,3,3.60,12,1,0,0,0,West Indies VS Zimbabwe,West Indies
9,Odean Smith,3,0,31,1,10.33,8,4,1,1,1,West Indies VS Zimbabwe,West Indies
0,Fred Klaassen,4,0,34,1,8.50,9,1,2,0,0,Sri Lanka VS Netherlands,Netherlands
2,Tim Pringle,3,0,22,0,7.33,8,0,2,0,0,Sri Lanka VS Netherlands,Netherlands
3,Roelof van der Merwe,3,0,16,0,5.33,10,2,0,0,0,Sri Lanka VS Netherlands,Netherlands
4,Paul van Meekeren,4,0,25,2,6.25,11,3,0,1,0,Sri Lanka VS Netherlands,Netherlands
6,Bas de Leede,3,0,31,2,10.33,5,2,2,0,0,Sri Lanka VS Netherlands,Netherlands
8,Timm van der Gugten,3,0,31,1,10.33,3,2,1,0,0,Sri Lanka VS Netherlands,Netherlands
0,Dhananjaya de Silva,1,0,5,0,5.00,1,0,0,0,0,Sri Lanka VS Netherlands,Sri Lanka
1,Lahiru Kumara,4,0,28,1,7.00,14,2,1,1,0,Sri Lanka VS Netherlands,Sri Lanka
3,Binura Fernando,4,0,33,1,8.25,11,4,1,1,0,Sri Lanka VS Netherlands,Sri Lanka
5,Maheesh Theekshana,4,0,32,2,8.00,12,1,2,2,1,Sri Lanka VS Netherlands,Sri Lanka
7,Wanindu Hasaranga de Silva,4,0,28,3,7.00,11,3,0,0,0,Sri Lanka VS Netherlands,Sri Lanka
9,Chamika Karunaratne,2,0,11,0,5.50,6,1,0,1,0,Sri Lanka VS Netherlands,Sri Lanka
10,Dasun Shanaka,1,0,7,0,7.00,3,1,0,0,0,Sri Lanka VS Netherlands,Sri Lanka
0,Ruben Trumpelmann,4,0,22,0,5.50,10,0,0,3,0,United Arab Emirates VS Namibia,Namibia
1,David Wiese,4,0,27,1,6.75,12,2,1,1,0,United Arab Emirates VS Namibia,Namibia
3,Bernard Scholtz,4,0,22,1,5.50,11,1,1,0,0,United Arab Emirates VS Namibia,Namibia
5,JJ Smit,4,0,39,0,9.75,11,2,3,0,0,United Arab Emirates VS Namibia,Namibia
6,Jan Frylinck,3,0,30,0,10.00,3,2,1,1,0,United Arab Emirates VS Namibia,Namibia
7,Ben Shikongo,1,0,8,1,8.00,1,1,0,0,0,United Arab Emirates VS Namibia,Namibia
0,Basil Hameed,3,0,17,2,5.66,10,2,0,0,0,United Arab Emirates VS Namibia,United Arab Emirates
2,Junaid Siddique,4,0,35,1,8.75,8,3,1,2,0,United Arab Emirates VS Namibia,United Arab Emirates
4,Zahoor Khan,4,0,20,2,5.00,15,1,0,2,2,United Arab Emirates VS Namibia,United Arab Emirates
6,Ahmed Raza,1,0,9,0,9.00,1,1,0,0,0,United Arab Emirates VS Namibia,United Arab Emirates
7,Karthik Meiyappan,4,0,34,1,8.50,8,2,2,0,0,United Arab Emirates VS Namibia,United Arab Emirates
9,Aayan Afzal Khan,2,0,7,0,3.50,5,0,0,0,0,United Arab Emirates VS Namibia,United Arab Emirates
10,Muhammad Waseem,2,0,16,1,8.00,3,0,1,0,0,United Arab Emirates VS Namibia,United Arab Emirates
0,Josh Little,4,0,31,0,7.75,8,1,2,1,0,West Indies VS Ireland,Ireland
1,Mark Adair,4,0,26,0,6.50,12,1,1,4,0,West Indies VS Ireland,Ireland
2,Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0,West Indies VS Ireland,Ireland
4,Curtis Campher,2,0,28,0,14.00,2,4,1,0,0,West Indies VS Ireland,Ireland
5,Simi Singh,2,0,11,1,5.50,4,1,0,0,0,West Indies VS Ireland,Ireland
7,Gareth Delany,4,0,16,3,4.00,12,1,0,1,0,West Indies VS Ireland,Ireland
0,Obed McCoy,3.3,0,27,0,7.71,11,2,2,0,0,West Indies VS Ireland,West Indies
1,Akeal Hosein,4,0,38,1,9.50,5,2,2,0,0,West Indies VS Ireland,West Indies
3,Alzarri Joseph,4,0,39,0,9.75,9,3,2,1,0,West Indies VS Ireland,West Indies
4,Odean Smith,2,0,23,0,11.50,4,3,1,0,1,West Indies VS Ireland,West Indies
5,Jason Holder,4,0,23,0,5.75,7,1,0,0,0,West Indies VS Ireland,West Indies
0,Tendai Chatara,4,1,14,2,3.50,14,1,0,0,0,Scotland VS Zimbabwe,Zimbabwe
2,Richard Ngarava,4,0,28,2,7.00,12,4,0,1,1,Scotland VS Zimbabwe,Zimbabwe
4,Blessing Muzarabani,4,0,34,1,8.50,9,5,0,0,2,Scotland VS Zimbabwe,Zimbabwe
6,Sean Williams,3,0,19,0,6.33,4,1,0,0,0,Scotland VS Zimbabwe,Zimbabwe
7,Sikandar Raza,4,0,20,1,5.00,10,0,0,2,0,Scotland VS Zimbabwe,Zimbabwe
9,Wessly Madhevere,1,0,7,0,7.00,1,0,0,0,0,Scotland VS Zimbabwe,Zimbabwe
0,Brad Wheal,4,0,26,1,6.50,12,4,0,0,0,Scotland VS Zimbabwe,Scotland
2,Josh Davey,3,0,16,2,5.33,8,1,0,0,1,Scotland VS Zimbabwe,Scotland
4,Safyaan Sharif,2.3,0,23,0,9.20,4,3,0,0,1,Scotland VS Zimbabwe,Scotland
5,Mark Watt,4,0,19,1,4.75,9,1,0,0,0,Scotland VS Zimbabwe,Scotland
7,Michael Leask,4,0,36,1,9.00,4,2,1,0,0,Scotland VS Zimbabwe,Scotland
9,Calum MacLeod,1,0,11,0,11.00,0,0,1,0,0,Scotland VS Zimbabwe,Scotland
0,Mitchell Starc,4,0,36,0,9.00,5,3,1,0,0,New Zealand VS Australia,Australia
1,Josh Hazlewood,4,0,41,2,10.25,8,5,1,1,0,New Zealand VS Australia,Australia
3,Pat Cummins,4,0,46,0,11.50,8,4,2,2,0,New Zealand VS Australia,Australia
4,Marcus Stoinis,4,0,38,0,9.50,3,1,2,1,0,New Zealand VS Australia,Australia
5,Adam Zampa,4,0,39,1,9.75,4,2,2,1,0,New Zealand VS Australia,Australia
0,Trent Boult,4,0,24,2,6.00,13,2,1,1,0,New Zealand VS Australia,New Zealand
2,Tim Southee,2.1,0,6,3,2.76,10,1,0,0,0,New Zealand VS Australia,New Zealand
4,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0,New Zealand VS Australia,New Zealand
6,Lockie Ferguson,3,0,20,1,6.66,9,2,1,0,0,New Zealand VS Australia,New Zealand
8,Ish Sodhi,4,0,29,1,7.25,8,2,1,1,0,New Zealand VS Australia,New Zealand
0,Ben Stokes,4,0,19,2,4.75,14,2,0,1,0,Afghanistan VS England,England
2,Chris Woakes,4,0,24,1,6.00,15,2,1,1,0,Afghanistan VS England,England
4,Mark Wood,4,0,23,2,5.75,14,2,1,0,0,Afghanistan VS England,England
6,Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0,Afghanistan VS England,England
8,Adil Rashid,4,0,32,0,8.00,4,1,1,0,0,Afghanistan VS England,England
0,Fazalhaq Farooqi,4,0,24,1,6.00,15,2,1,3,0,Afghanistan VS England,Afghanistan
2,Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0,Afghanistan VS England,Afghanistan
3,Mujeeb Ur Rahman,4,0,22,1,5.50,10,1,0,0,0,Afghanistan VS England,Afghanistan
5,Rashid Khan,4,0,17,1,4.25,10,0,0,0,0,Afghanistan VS England,Afghanistan
7,Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0,Afghanistan VS England,Afghanistan
9,Mohammad Nabi,3,0,16,1,5.33,6,0,0,0,0,Afghanistan VS England,Afghanistan
0,Binura Fernando,4,0,27,1,6.75,10,3,0,1,0,Ireland VS Sri Lanka,Sri Lanka
2,Lahiru Kumara,2,0,12,1,6.00,6,2,0,0,0,Ireland VS Sri Lanka,Sri Lanka
4,Maheesh Theekshana,4,0,19,2,4.75,8,1,0,0,0,Ireland VS Sri Lanka,Sri Lanka
6,Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0,Ireland VS Sri Lanka,Sri Lanka
8,Wanindu Hasaranga de Silva,4,0,25,2,6.25,6,0,1,0,0,Ireland VS Sri Lanka,Sri Lanka
10,Dhananjaya de Silva,2,0,13,1,6.50,3,1,0,0,0,Ireland VS Sri Lanka,Sri Lanka
0,Josh Little,4,0,45,0,11.25,5,4,1,1,0,Ireland VS Sri Lanka,Ireland
1,Mark Adair,2,0,16,0,8.00,2,1,0,0,0,Ireland VS Sri Lanka,Ireland
2,Barry McCarthy,2,0,16,0,8.00,4,0,1,0,0,Ireland VS Sri Lanka,Ireland
3,Gareth Delany,4,0,28,1,7.00,8,3,0,2,0,Ireland VS Sri Lanka,Ireland
5,Curtis Campher,1,0,8,0,8.00,2,1,0,0,0,Ireland VS Sri Lanka,Ireland
6,Simi Singh,2,0,20,0,10.00,3,0,2,0,0,Ireland VS Sri Lanka,Ireland
0,Bhuvneshwar Kumar,4,0,22,1,5.50,17,1,1,3,0,Pakistan VS India,India
2,Arshdeep Singh,4,0,32,3,8.00,10,3,1,1,0,Pakistan VS India,India
4,Mohammed Shami,4,0,25,1,6.25,14,4,0,1,0,Pakistan VS India,India
6,Hardik Pandya,4,0,30,3,7.50,10,4,0,0,0,Pakistan VS India,India
8,Ravichandran Ashwin,3,0,23,0,7.66,5,0,1,1,0,Pakistan VS India,India
9,Axar Patel,1,0,21,0,21.00,2,0,3,0,0,Pakistan VS India,India
0,Shaheen Shah Afridi,4,0,34,0,8.50,7,4,0,1,0,Pakistan VS India,Pakistan
1,Naseem Shah,4,0,23,1,5.75,10,1,0,0,0,Pakistan VS India,Pakistan
3,Haris Rauf,4,0,36,2,9.00,11,2,2,1,0,Pakistan VS India,Pakistan
5,Shadab Khan,4,0,21,0,5.25,10,2,0,0,0,Pakistan VS India,Pakistan
6,Mohammad Nawaz,4,0,42,2,10.50,8,0,4,2,1,Pakistan VS India,Pakistan
0,Fred Klaassen,4,0,33,1,8.25,10,5,0,3,0,Bangladesh VS Netherlands,Netherlands
2,Colin Ackermann,1,0,4,0,4.00,2,0,0,0,0,Bangladesh VS Netherlands,Netherlands
3,Paul van Meekeren,4,0,21,2,5.25,10,1,0,0,0,Bangladesh VS Netherlands,Netherlands
5,Bas de Leede,3,0,29,2,9.66,9,3,1,3,0,Bangladesh VS Netherlands,Netherlands
7,Tim Pringle,2,0,10,1,5.00,4,0,0,0,0,Bangladesh VS Netherlands,Netherlands
9,Shariz Ahmad,3,0,27,1,9.00,5,1,2,0,0,Bangladesh VS Netherlands,Netherlands
11,Logan van Beek,3,0,12,1,4.00,7,0,0,1,0,Bangladesh VS Netherlands,Netherlands
0,Taskin Ahmed,4,0,25,4,6.25,16,5,0,0,0,Bangladesh VS Netherlands,Bangladesh
2,Hasan Mahmud,4,1,15,2,3.75,16,2,0,0,0,Bangladesh VS Netherlands,Bangladesh
4,Shakib Al Hasan,4,0,32,1,8.00,6,0,2,1,0,Bangladesh VS Netherlands,Bangladesh
6,Mustafizur Rahman,4,0,20,0,5.00,14,2,0,2,0,Bangladesh VS Netherlands,Bangladesh
7,Soumya Sarkar,3,0,29,1,9.66,5,2,1,1,0,Bangladesh VS Netherlands,Bangladesh
9,Mosaddek Hossain,1,0,14,0,14.00,0,0,1,0,1,Bangladesh VS Netherlands,Bangladesh
0,Kagiso Rabada,2,0,20,0,10.00,4,2,1,0,0,Zimbabwe VS South Africa,South Africa
1,Wayne Parnell,2,0,6,1,3.00,9,1,0,0,0,Zimbabwe VS South Africa,South Africa
3,Lungi Ngidi,2,0,20,2,10.00,6,2,1,2,0,Zimbabwe VS South Africa,South Africa
5,Keshav Maharaj,1,0,10,0,10.00,1,1,0,0,0,Zimbabwe VS South Africa,South Africa
6,Anrich Nortje,2,0,10,1,5.00,5,0,0,0,0,Zimbabwe VS South Africa,South Africa
0,Tendai Chatara,1,0,23,0,23.00,0,4,1,0,0,Zimbabwe VS South Africa,Zimbabwe
1,Richard Ngarava,1,0,17,0,17.00,2,4,0,0,1,Zimbabwe VS South Africa,Zimbabwe
2,Sikandar Raza,1,0,11,0,11.00,1,0,0,0,1,Zimbabwe VS South Africa,Zimbabwe
0,Josh Hazlewood,4,0,26,1,6.50,13,3,0,3,0,Sri Lanka VS Australia,Australia
2,Pat Cummins,4,0,36,1,9.00,12,5,1,2,0,Sri Lanka VS Australia,Australia
4,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0,Sri Lanka VS Australia,Australia
6,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0,Sri Lanka VS Australia,Australia
8,Marcus Stoinis,2,0,17,0,8.50,1,1,0,1,0,Sri Lanka VS Australia,Australia
9,Mitchell Marsh,1,0,14,0,14.00,1,1,1,0,0,Sri Lanka VS Australia,Australia
10,Glenn Maxwell,1,0,5,1,5.00,2,0,0,0,0,Sri Lanka VS Australia,Australia
0,Binura Fernando,0.5,0,5,0,6.00,2,0,0,0,0,Sri Lanka VS Australia,Sri Lanka
1,Dhananjaya de Silva,2.1,0,18,1,8.30,4,1,1,0,0,Sri Lanka VS Australia,Sri Lanka
3,Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0,Sri Lanka VS Australia,Sri Lanka
4,Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0,Sri Lanka VS Australia,Sri Lanka
6,Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0,Sri Lanka VS Australia,Sri Lanka
8,Wanindu Hasaranga de Silva,3,0,53,0,17.66,0,3,5,0,0,Sri Lanka VS Australia,Sri Lanka
9,Dasun Shanaka,1,0,10,0,10.00,2,2,0,0,0,Sri Lanka VS Australia,Sri Lanka
0,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0,Ireland VS England,England
2,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0,Ireland VS England,England
3,Mark Wood,4,0,34,3,8.50,13,4,1,2,0,Ireland VS England,England
5,Sam Curran,3,0,31,2,10.33,7,1,2,0,0,Ireland VS England,England
7,Adil Rashid,4,0,24,0,6.00,6,1,0,0,0,Ireland VS England,England
8,Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0,Ireland VS England,England
0,Josh Little,3,0,16,2,5.33,11,2,0,2,0,Ireland VS England,Ireland
2,Mark Adair,2,0,10,0,5.00,5,0,0,0,0,Ireland VS England,Ireland
3,Barry McCarthy,3,0,20,1,6.66,7,1,0,3,0,Ireland VS England,Ireland
5,Fionn Hand,2,0,17,1,8.50,6,1,0,4,0,Ireland VS England,Ireland
7,Gareth Delany,3.3,0,33,0,9.42,5,3,1,1,0,Ireland VS England,Ireland
8,George Dockrell,1,0,5,1,5.00,2,0,0,0,0,Ireland VS England,Ireland
0,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3,South Africa VS Bangladesh,Bangladesh
2,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0,South Africa VS Bangladesh,Bangladesh
3,Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0,South Africa VS Bangladesh,Bangladesh
5,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0,South Africa VS Bangladesh,Bangladesh
6,Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0,South Africa VS Bangladesh,Bangladesh
