,link,contry,battingStyle,bowlingStyle,playingRole
Tim Southee,https://www.espncricinfo.com/cricketers/tim-southee-232364,New Zealand,Right hand Bat,Right arm Medium fast,Bowler
Mitchell Santner,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Lockie Ferguson,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,New Zealand,Right hand Bat,Right arm Fast,Bowler
Ish Sodhi,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,New Zealand,Right hand Bat,Legbreak,Bowler
Finn Allen,https://www.espncricinfo.com/cricketers/finn-allen-959759,New Zealand,Right hand Bat,,Top order Batter
Devon Conway†,https://www.espncricinfo.com/cricketers/devon-conway-379140,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Kane Williamson(c),https://www.espncricinfo.com/cricketers/kane-williamson-277906,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter
Glenn Phillips,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
James Neesham,https://www.espncricinfo.com/cricketers/james-neesham-355269,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder
David Warner,https://www.espncricinfo.com/cricketers/david-warner-219889,Australia,Left hand Bat,Legbreak,Opening Batter
Aaron Finch(c),https://www.espncricinfo.com/cricketers/aaron-finch-5334,Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter
Mitchell Marsh,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,Australia,Right hand Bat,Right arm Medium,Allrounder
Glenn Maxwell,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
Tim David,https://www.espncricinfo.com/cricketers/tim-david-892749,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter
Matthew Wade†,https://www.espncricinfo.com/cricketers/matthew-wade-230193,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Ben Stokes,https://www.espncricinfo.com/cricketers/ben-stokes-311158,England,Left hand Bat,Right arm Fast medium,Allrounder
Chris Woakes,https://www.espncricinfo.com/cricketers/chris-woakes-247235,England,Right hand Bat,Right arm Fast medium,Allrounder
Mark Wood,https://www.espncricinfo.com/cricketers/mark-wood-351588,England,Right hand Bat,Right arm Fast,Bowler
Sam Curran,https://www.espncricinfo.com/cricketers/sam-curran-662973,England,Left hand Bat,Left arm Medium fast,Allrounder
Adil Rashid,https://www.espncricinfo.com/cricketers/adil-rashid-244497,England,Right hand Bat,Legbreak,Bowler
Fazalhaq Farooqi,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler
Azmatullah Omarzai,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder
Mujeeb Ur Rahman,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler
Rashid Khan,https://www.espncricinfo.com/cricketers/rashid-khan-793463,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder
Fareed Ahmad,https://www.espncricinfo.com/cricketers/fareed-ahmad-568136,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler
Mohammad Nabi,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Hazratullah Zazai,https://www.espncricinfo.com/cricketers/hazratullah-zazai-793457,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Rahmanullah Gurbaz†,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087,Afghanistan,Right hand Bat,,Wicketkeeper Batter
Ibrahim Zadran,https://www.espncricinfo.com/cricketers/ibrahim-zadran-921509,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter
Usman Ghani,https://www.espncricinfo.com/cricketers/usman-ghani-711559,Afghanistan,Right hand Bat,,Opening Batter
Najibullah Zadran,https://www.espncricinfo.com/cricketers/najibullah-zadran-524049,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter
Jos Buttler(c)†,https://www.espncricinfo.com/cricketers/jos-buttler-308967,England,Right hand Bat,,Wicketkeeper Batter
Alex Hales,https://www.espncricinfo.com/cricketers/alex-hales-249866,England,Right hand Bat,Right arm Medium,Opening Batter
Dawid Malan,https://www.espncricinfo.com/cricketers/dawid-malan-236489,England,Left hand Bat,Legbreak,Top order Batter
Liam Livingstone,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Harry Brook,https://www.espncricinfo.com/cricketers/harry-brook-911707,England,Right hand Bat,Right arm Medium,Batter
Moeen Ali,https://www.espncricinfo.com/cricketers/moeen-ali-8917,England,Left hand Bat,Right arm Offbreak,Batting Allrounder
Bhuvneshwar Kumar,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,India,Right hand Bat,Right arm Medium,Bowler
Arshdeep Singh,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,India,Left hand Bat,Left arm Medium fast,Bowler
Mohammed Shami,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,India,Right hand Bat,Right arm Fast,Bowler
Hardik Pandya,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,India,Right hand Bat,Right arm Medium fast,Allrounder
Ravichandran Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Axar Patel,https://www.espncricinfo.com/cricketers/axar-patel-554691,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Shaheen Shah Afridi,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,Pakistan,Left hand Bat,Left arm Fast,Bowler
Naseem Shah,https://www.espncricinfo.com/cricketers/naseem-shah-1158088,Pakistan,Right hand Bat,Right arm Fast,Bowler
Haris Rauf,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,Pakistan,Right hand Bat,Right arm Fast,Bowler
Shadab Khan,https://www.espncricinfo.com/cricketers/shadab-khan-922943,Pakistan,Right hand Bat,Legbreak,Allrounder
Mohammad Nawaz,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder
Mohammad Rizwan†,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389,Pakistan,Right hand Bat,,Wicketkeeper Batter
Babar Azam(c),https://www.espncricinfo.com/cricketers/babar-azam-348144,Pakistan,Right hand Bat,Right arm Offbreak,Batter
Shan Masood,https://www.espncricinfo.com/cricketers/shan-masood-233901,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter
Iftikhar Ahmed,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Haider Ali,https://www.espncricinfo.com/cricketers/haider-ali-1168651,Pakistan,Right hand Bat,,Middle order Batter
Asif Ali,https://www.espncricinfo.com/cricketers/asif-ali-494230,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
KL Rahul,https://www.espncricinfo.com/cricketers/kl-rahul-422108,India,Right hand Bat,,Wicketkeeper Batter
Rohit Sharma(c),https://www.espncricinfo.com/cricketers/rohit-sharma-34102,India,Right hand Bat,Right arm Offbreak,Top order Batter
Virat Kohli,https://www.espncricinfo.com/cricketers/virat-kohli-253802,India,Right hand Bat,Right arm Medium,Top order Batter
Suryakumar Yadav,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Dinesh Karthik†,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,India,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shariz Ahmad,https://www.espncricinfo.com/cricketers/shariz-ahmad-1278252,Netherlands,Left hand Bat,Legbreak Googly,Bowler
Taskin Ahmed,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,Bangladesh,Left hand Bat,Right arm Fast,Bowler
Hasan Mahmud,https://www.espncricinfo.com/cricketers/hasan-mahmud-926629,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Shakib Al Hasan,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
Mustafizur Rahman,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler
Soumya Sarkar,https://www.espncricinfo.com/cricketers/soumya-sarkar-436677,Bangladesh,Left hand Bat,Right arm Medium fast,Middle order Batter
Mosaddek Hossain,https://www.espncricinfo.com/cricketers/mosaddek-hossain-550133,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
Najmul Hossain Shanto,https://www.espncricinfo.com/cricketers/najmul-hossain-shanto-629058,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter
Litton Das,https://www.espncricinfo.com/cricketers/litton-das-536936,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Afif Hossain,https://www.espncricinfo.com/cricketers/afif-hossain-935995,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder
Yasir Ali,https://www.espncricinfo.com/cricketers/yasir-ali-629059,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
Nurul Hasan†,https://www.espncricinfo.com/cricketers/nurul-hasan-410765,Bangladesh,Right hand Bat,,Wicketkeeper Batter
Kagiso Rabada,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,South Africa,Left hand Bat,Right arm Fast,Bowler
Wayne Parnell,https://www.espncricinfo.com/cricketers/wayne-parnell-265564,South Africa,Left hand Bat,Left arm Medium fast,Bowler
Lungi Ngidi,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023,South Africa,Right hand Bat,Right arm Fast medium,Bowler
Keshav Maharaj,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler
Anrich Nortje,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,South Africa,Right hand Bat,Right arm Fast,Bowler
Quinton de Kock†,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,South Africa,Left hand Bat,,Wicketkeeper Batter
Temba Bavuma(c),https://www.espncricinfo.com/cricketers/temba-bavuma-372116,South Africa,Right hand Bat,Right arm Medium,Middle order Batter
Ashton Agar,https://www.espncricinfo.com/cricketers/ashton-agar-505120,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
Fionn Hand,https://www.espncricinfo.com/cricketers/fionn-hand-1099225,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder
Mehidy Hasan Miraz,https://www.espncricinfo.com/cricketers/mehidy-hasan-miraz-629063,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
Tabraiz Shamsi,https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145,South Africa,Right hand Bat,Left arm Wrist spin,Bowler
Rilee Rossouw,https://www.espncricinfo.com/cricketers/rilee-rossouw-318845,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter
Tristan Stubbs,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Aiden Markram,https://www.espncricinfo.com/cricketers/aiden-markram-600498,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter
David Miller,https://www.espncricinfo.com/cricketers/david-miller-321777,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter
Mohammad Wasim,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder
Brad Evans,https://www.espncricinfo.com/cricketers/brad-evans-696127,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder
Kasun Rajitha,https://www.espncricinfo.com/cricketers/kasun-rajitha-499594,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Daryl Mitchell,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,New Zealand,Right hand Bat,Right arm Medium,Allrounder
Brandon Glover,https://www.espncricinfo.com/cricketers/brandon-glover-595419,Netherlands,Right hand Bat,Right arm Fast,Bowler
Stephan Myburgh,https://www.espncricinfo.com/cricketers/stephan-myburgh-233712,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter
Fakhar Zaman,https://www.espncricinfo.com/cricketers/fakhar-zaman-512191,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Deepak Hooda,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,India,Right hand Bat,Right arm Offbreak,Allrounder
Gulbadin Naib,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder
Shoriful Islam,https://www.espncricinfo.com/cricketers/shoriful-islam-990039,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler
Mohammad Haris,https://www.espncricinfo.com/cricketers/mohammad-haris-1205559,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Heinrich Klaasen,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Naveen-ul-Haq,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler
Kane Richardson,https://www.espncricinfo.com/cricketers/kane-richardson-272262,Australia,Right hand Bat,Right arm Fast medium,Bowler
Cameron Green,https://www.espncricinfo.com/cricketers/cameron-green-1076713,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder
Steven Smith,https://www.espncricinfo.com/cricketers/steven-smith-267192,Australia,Right hand Bat,Legbreak Googly,Middle order Batter
Darwish Rasooli,https://www.espncricinfo.com/cricketers/darwish-rasooli-819441,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter
Nasum Ahmed,https://www.espncricinfo.com/cricketers/nasum-ahmed-348049,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler
Ebadot Hossain,https://www.espncricinfo.com/cricketers/ebadot-hossain-932355,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Wellington Masakadza,https://www.espncricinfo.com/cricketers/wellington-masakadza-571703,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler
Rishabh Pant†,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,India,Left hand Bat,,Wicketkeeper Batter
Chris Jordan,https://www.espncricinfo.com/cricketers/chris-jordan-288992,England,Right hand Bat,Right arm Fast medium,Bowler
Phil Salt,https://www.espncricinfo.com/cricketers/phil-salt-669365,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
