name,contry,battingStyle,bowlingStyle,playingRole,indivisual_runs,total_balls,innings,dissmissals,fours,sixes,bat_pos,batting_Avg,str_rate,boundry%,avg_balls,innings_bowled,bow_economy,balls_bowled,wickets,Bow_strike_rate,runs_consided,bow_avg,dots,dot_ball_%,maidens,avg_ball_faced
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,1.0,3.0,2.0,1.0,0.0,0.0,10.0,1.0,33.3,0.0,2.0,3.0,6.666666666666667,72.0,5.0,14.4,80.0,16.0,24.0,33.3,0.0,1.5
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler,,,,,,,,,,,,5.0,7.4,120.0,8.0,15.0,148.0,18.5,56.0,46.7,0.0,
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,5.0,3.0,2.0,0.0,1.0,0.0,8.0,inf,166.7,80.0,2.0,5.0,6.266,104.0,7.0,14.9,114.0,16.3,52.0,50.0,1.0,1.5
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,27.0,16.0,3.0,1.0,0.0,2.0,7.0,27.0,168.8,44.4,5.0,5.0,6.45,120.0,9.0,13.3,129.0,14.3,49.0,40.8,0.0,5.3
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler,,,,,,,,,,,,5.0,8.282,114.0,7.0,16.3,159.0,22.7,43.0,37.7,0.0,
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler,7.0,7.0,2.0,1.0,0.0,0.0,8.0,7.0,100.0,0.0,4.0,5.0,6.709999999999999,116.0,6.0,19.3,130.0,21.7,43.0,37.1,0.0,3.5
Finn Allen,New Zealand,Right hand Bat,,Top order Batter,95.0,51.0,5.0,5.0,11.0,5.0,1.0,19.0,186.3,77.9,10.0,,,,,,,,,,,10.2
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,145.0,124.0,5.0,4.0,12.0,2.0,2.0,36.2,116.9,41.4,25.0,,,,,,,,,,,24.8
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,178.0,153.0,5.0,5.0,11.0,5.0,3.0,35.6,116.3,41.6,31.0,,,,,,,,,,,30.6
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,201.0,127.0,5.0,5.0,19.0,8.0,4.0,40.2,158.3,61.7,25.0,,,,,,,,,,,25.4
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,53.0,37.0,5.0,3.0,2.0,2.0,6.0,17.7,143.2,37.7,7.0,,,,,,,,,,,7.4
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter,44.0,41.0,4.0,4.0,6.0,0.0,1.0,11.0,107.3,54.5,10.0,,,,,,,,,,,10.2
Aaron Finch,Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter,107.0,97.0,3.0,2.0,6.0,5.0,2.0,53.5,110.3,50.5,32.0,,,,,,,,,,,32.3
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,106.0,81.0,4.0,4.0,8.0,6.0,3.0,26.5,130.9,64.2,20.0,1.0,14.0,6.0,0.0,inf,14.0,inf,1.0,16.7,0.0,20.2
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,118.0,73.0,4.0,3.0,11.0,6.0,4.0,39.3,161.6,67.8,18.0,2.0,5.73,19.0,3.0,6.3,19.0,6.3,8.0,42.1,0.0,18.2
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,26.0,18.0,2.0,1.0,2.0,1.0,6.0,26.0,144.4,53.8,9.0,,,,,,,,,,,9.0
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,15.0,15.0,3.0,2.0,2.0,0.0,7.0,7.5,100.0,53.3,5.0,,,,,,,,,,,5.0
Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder,110.0,104.0,5.0,3.0,7.0,1.0,4.0,36.7,105.8,30.9,21.0,6.0,7.195,98.0,6.0,16.3,111.0,18.5,42.0,42.9,0.0,20.8
Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder,5.0,3.0,1.0,0.0,1.0,0.0,8.0,inf,166.7,80.0,3.0,6.0,8.761666666666667,120.0,5.0,24.0,172.0,34.4,45.0,37.5,0.0,3.0
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,,,,,,,,,,,,4.0,7.8100000000000005,84.0,9.0,9.3,108.0,12.0,43.0,51.2,0.0,
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,12.0,14.0,2.0,1.0,0.0,1.0,7.0,12.0,85.7,50.0,7.0,6.0,6.633333333333333,136.0,13.0,10.5,148.0,11.4,66.0,48.5,0.0,7.0
Adil Rashid,England,Right hand Bat,Legbreak,Bowler,,,,,,,,,,,,6.0,6.125,144.0,4.0,36.0,147.0,36.8,45.0,31.2,1.0,
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,0.0,2.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,,2.0,3.0,6.510000000000001,69.0,3.0,23.0,75.0,25.0,39.0,56.5,1.0,2.0
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,11.0,10.0,2.0,1.0,1.0,0.0,8.0,11.0,110.0,36.4,5.0,2.0,8.96,19.0,0.0,inf,28.0,inf,4.0,21.1,0.0,5.0
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,1.0,3.0,2.0,2.0,0.0,0.0,9.0,0.5,33.3,0.0,2.0,3.0,7.333333333333333,72.0,4.0,18.0,88.0,22.0,27.0,37.5,0.0,1.5
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,57.0,32.0,3.0,2.0,4.0,4.0,8.0,28.5,178.1,70.2,11.0,3.0,6.416666666666667,72.0,4.0,18.0,77.0,19.2,29.0,40.3,0.0,10.7
Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,2.0,4.0,1.0,0.0,0.0,0.0,10.0,inf,50.0,0.0,4.0,2.0,12.0,24.0,1.0,24.0,48.0,48.0,5.0,20.8,0.0,4.0
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,17.0,15.0,3.0,3.0,1.0,0.0,6.0,5.7,113.3,23.5,5.0,3.0,9.11,36.0,1.0,36.0,46.0,46.0,9.0,25.0,0.0,5.0
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,7.0,17.0,1.0,1.0,1.0,0.0,1.0,7.0,41.2,57.1,17.0,,,,,,,,,,,17.0
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,,Wicketkeeper Batter,68.0,50.0,3.0,3.0,4.0,5.0,1.0,22.7,136.0,67.6,17.0,,,,,,,,,,,16.7
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,80.0,83.0,3.0,3.0,6.0,2.0,3.0,26.7,96.4,45.0,28.0,,,,,,,,,,,27.7
Usman Ghani,Afghanistan,Right hand Bat,,Opening Batter,59.0,64.0,3.0,3.0,5.0,1.0,3.0,19.7,92.2,44.1,21.0,,,,,,,,,,,21.3
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,31.0,29.0,3.0,3.0,1.0,1.0,5.0,10.3,106.9,32.3,10.0,,,,,,,,,,,9.7
Jos Buttler,England,Right hand Bat,,Wicketkeeper Batter,225.0,156.0,6.0,5.0,24.0,7.0,1.0,45.0,144.2,61.3,26.0,,,,,,,,,,,26.0
Alex Hales,England,Right hand Bat,Right arm Medium,Opening Batter,212.0,144.0,6.0,5.0,19.0,10.0,2.0,42.4,147.2,64.2,24.0,,,,,,,,,,,24.0
Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter,56.0,68.0,3.0,2.0,2.0,0.0,5.0,28.0,82.4,14.3,23.0,,,,,,,,,,,22.7
Liam Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,55.0,44.0,5.0,2.0,4.0,1.0,6.0,27.5,125.0,40.0,9.0,5.0,9.064,72.0,3.0,24.0,96.0,32.0,19.0,26.4,0.0,8.8
Harry Brook,England,Right hand Bat,Right arm Medium,Batter,56.0,58.0,5.0,5.0,2.0,1.0,5.0,11.2,96.6,25.0,12.0,,,,,,,,,,,11.6
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,57.0,46.0,5.0,3.0,6.0,1.0,6.0,19.0,123.9,52.6,9.0,2.0,4.5,12.0,0.0,inf,9.0,inf,4.0,33.3,0.0,9.2
Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,Bowler,4.0,6.0,1.0,0.0,0.0,0.0,9.0,inf,66.7,0.0,6.0,6.0,6.563333333333333,112.0,4.0,28.0,115.0,28.8,69.0,61.6,3.0,6.0
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler,2.0,1.0,1.0,0.0,0.0,0.0,11.0,inf,200.0,0.0,1.0,6.0,7.5,120.0,10.0,12.0,156.0,15.6,55.0,45.8,0.0,1.0
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler,0.0,2.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,,2.0,6.0,7.43,120.0,6.0,20.0,143.0,23.8,60.0,50.0,0.0,2.0
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,128.0,97.0,5.0,5.0,7.0,7.0,6.0,25.6,132.0,54.7,19.0,6.0,8.290000000000001,108.0,8.0,13.5,146.0,18.2,42.0,38.9,0.0,19.4
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder,21.0,18.0,3.0,1.0,1.0,1.0,8.0,21.0,116.7,47.6,4.0,6.0,8.693333333333333,114.0,6.0,19.0,155.0,25.8,41.0,36.0,0.0,6.0
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,9.0,9.0,2.0,2.0,1.0,0.0,6.0,4.5,100.0,44.4,3.0,5.0,10.2,80.0,3.0,26.7,115.0,38.3,29.0,36.2,0.0,4.5
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,22.0,12.0,3.0,2.0,2.0,1.0,9.0,11.0,183.3,63.6,4.0,7.0,6.094285714285713,151.0,11.0,13.7,155.0,14.1,70.0,46.4,0.0,4.0
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,5.0,3.0,1.0,0.0,0.0,0.0,9.0,inf,166.7,0.0,3.0,7.0,6.1899999999999995,156.0,3.0,52.0,162.0,54.0,74.0,47.4,0.0,3.0
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,10.0,7.0,3.0,1.0,0.0,1.0,10.0,10.0,142.9,60.0,2.0,7.0,6.998571428571429,156.0,8.0,19.5,178.0,22.2,69.0,44.2,1.0,2.3
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,98.0,58.0,5.0,4.0,7.0,5.0,6.0,24.5,169.0,59.2,10.0,7.0,6.464285714285714,156.0,11.0,14.2,165.0,15.0,59.0,37.8,0.0,11.6
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,68.0,64.0,5.0,5.0,7.0,2.0,6.0,13.6,106.2,58.8,13.0,4.0,6.0,54.0,3.0,18.0,67.0,22.3,17.0,31.5,0.0,12.8
Mohammad Rizwan,Pakistan,Right hand Bat,,Wicketkeeper Batter,175.0,160.0,7.0,7.0,15.0,3.0,1.0,25.0,109.4,44.6,23.0,,,,,,,,,,,22.9
Babar Azam,Pakistan,Right hand Bat,Right arm Offbreak,Batter,124.0,133.0,7.0,7.0,13.0,0.0,2.0,17.7,93.2,41.9,19.0,,,,,,,,,,,19.0
Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter,175.0,148.0,7.0,4.0,12.0,1.0,4.0,43.8,118.2,30.9,21.0,,,,,,,,,,,21.1
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,114.0,93.0,6.0,5.0,6.0,6.0,5.0,22.8,122.6,52.6,13.0,2.0,10.3,23.0,1.0,23.0,28.0,28.0,9.0,39.1,0.0,15.5
Haider Ali,Pakistan,Right hand Bat,,Middle order Batter,2.0,5.0,2.0,2.0,0.0,0.0,6.0,1.0,40.0,0.0,2.0,,,,,,,,,,,2.5
Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,2.0,3.0,1.0,1.0,0.0,0.0,8.0,2.0,66.7,0.0,3.0,,,,,,,,,,,3.0
KL Rahul,India,Right hand Bat,,Wicketkeeper Batter,128.0,106.0,6.0,6.0,8.0,8.0,1.0,21.3,120.8,62.5,18.0,,,,,,,,,,,17.7
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter,116.0,109.0,6.0,6.0,11.0,4.0,2.0,19.3,106.4,58.6,18.0,,,,,,,,,,,18.2
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter,296.0,217.0,6.0,3.0,25.0,8.0,3.0,98.7,136.4,50.0,36.0,,,,,,,,,,,36.2
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,239.0,126.0,6.0,4.0,26.0,9.0,4.0,59.8,189.7,66.1,21.0,,,,,,,,,,,21.0
Dinesh Karthik,India,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,14.0,22.0,3.0,3.0,1.0,0.0,7.0,4.7,63.6,28.6,7.0,,,,,,,,,,,7.3
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler,25.0,19.0,2.0,1.0,3.0,0.0,9.0,25.0,131.6,48.0,10.0,2.0,7.0,24.0,1.0,24.0,32.0,32.0,7.0,29.2,0.0,9.5
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,23.0,30.0,4.0,3.0,2.0,1.0,8.0,7.7,76.7,60.9,8.0,5.0,7.748,108.0,8.0,13.5,131.0,16.4,64.0,59.3,1.0,7.5
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,0.0,5.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,,2.0,4.0,8.375,96.0,6.0,16.0,134.0,22.3,42.0,43.8,1.0,2.5
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,44.0,46.0,5.0,5.0,3.0,0.0,4.0,8.8,95.7,27.3,9.0,5.0,8.9,114.0,6.0,19.0,167.0,27.8,27.0,23.7,0.0,9.2
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,9.0,4.0,2.0,0.0,0.0,1.0,10.0,inf,225.0,66.7,2.0,5.0,5.6,120.0,3.0,40.0,112.0,37.3,49.0,40.8,0.0,2.0
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Middle order Batter,49.0,39.0,4.0,4.0,3.0,3.0,2.0,12.2,125.6,61.2,10.0,1.0,9.66,18.0,1.0,18.0,29.0,29.0,5.0,27.8,0.0,9.8
Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,38.0,39.0,5.0,4.0,2.0,2.0,7.0,9.5,97.4,52.6,8.0,3.0,10.166666666666666,42.0,2.0,21.0,64.0,32.0,16.0,38.1,0.0,7.8
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,180.0,157.0,5.0,5.0,20.0,2.0,1.0,36.0,114.6,51.1,31.0,,,,,,,,,,,31.4
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,127.0,89.0,5.0,5.0,11.0,5.0,3.0,25.4,142.7,58.3,18.0,,,,,,,,,,,17.8
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder,95.0,76.0,5.0,4.0,6.0,3.0,5.0,23.8,125.0,44.2,15.0,1.0,11.0,6.0,1.0,6.0,11.0,11.0,1.0,16.7,0.0,15.2
Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,5.0,9.0,3.0,2.0,0.0,0.0,6.0,2.5,55.6,0.0,3.0,,,,,,,,,,,3.0
Nurul Hasan,Bangladesh,Right hand Bat,,Wicketkeeper Batter,41.0,42.0,5.0,4.0,2.0,1.0,7.0,10.2,97.6,34.1,8.0,,,,,,,,,,,8.4
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,10.0,10.0,2.0,1.0,0.0,0.0,8.0,10.0,100.0,0.0,5.0,5.0,9.565999999999999,96.0,2.0,48.0,151.0,75.5,38.0,39.6,0.0,5.0
Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler,5.0,13.0,4.0,2.0,0.0,0.0,7.0,2.5,38.5,0.0,3.0,5.0,6.3,96.0,5.0,19.2,102.0,20.4,48.0,50.0,1.0,3.2
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler,4.0,1.0,1.0,0.0,1.0,0.0,10.0,inf,400.0,100.0,1.0,4.0,9.2275,78.0,7.0,11.1,116.0,16.6,30.0,38.5,0.0,1.0
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,13.0,12.0,1.0,1.0,0.0,1.0,8.0,13.0,108.3,46.2,12.0,4.0,8.02,72.0,3.0,24.0,89.0,29.7,24.0,33.3,0.0,12.0
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,5.0,6.0,2.0,1.0,1.0,0.0,10.0,5.0,83.3,80.0,3.0,5.0,5.2700000000000005,105.0,11.0,9.5,94.0,8.5,58.0,55.2,0.0,3.0
Quinton de Kock,South Africa,Left hand Bat,,Wicketkeeper Batter,124.0,77.0,5.0,4.0,16.0,5.0,1.0,31.0,161.0,75.8,15.0,,,,,,,,,,,15.4
Temba Bavuma,South Africa,Right hand Bat,Right arm Medium,Middle order Batter,70.0,62.0,5.0,4.0,6.0,2.0,2.0,17.5,112.9,51.4,12.0,,,,,,,,,,,12.4
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,,,,,,,,,,,,1.0,6.25,24.0,1.0,24.0,25.0,25.0,8.0,33.3,0.0,
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder,12.0,11.0,3.0,3.0,2.0,0.0,9.0,4.0,109.1,66.7,4.0,3.0,11.5,30.0,1.0,30.0,54.0,54.0,10.0,33.3,0.0,3.7
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,11.0,13.0,1.0,1.0,0.0,0.0,6.0,11.0,84.6,0.0,13.0,1.0,10.66,18.0,0.0,inf,32.0,inf,4.0,22.2,0.0,13.0
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,1.0,1.0,1.0,0.0,0.0,0.0,11.0,inf,100.0,0.0,1.0,2.0,7.0,48.0,4.0,12.0,56.0,14.0,20.0,41.7,0.0,1.0
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter,141.0,83.0,4.0,4.0,9.0,9.0,3.0,35.2,169.9,63.8,21.0,,,,,,,,,,,20.8
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,31.0,31.0,3.0,3.0,2.0,1.0,5.0,10.3,100.0,45.2,10.0,,,,,,,,,,,10.3
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,99.0,79.0,4.0,4.0,13.0,1.0,4.0,24.8,125.3,58.6,20.0,2.0,6.5,18.0,1.0,18.0,21.0,21.0,4.0,22.2,0.0,19.8
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,78.0,67.0,3.0,1.0,5.0,3.0,5.0,78.0,116.4,48.7,22.0,,,,,,,,,,,22.3
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder,16.0,22.0,3.0,2.0,2.0,0.0,8.0,8.0,72.7,50.0,7.0,6.0,7.333333333333333,102.0,8.0,12.8,124.0,15.5,42.0,41.2,0.0,7.3
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder,21.0,17.0,2.0,2.0,0.0,1.0,8.0,10.5,123.5,28.6,8.0,2.0,8.455,42.0,2.0,21.0,57.0,28.5,14.0,33.3,0.0,8.5
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,8.0,21.0,1.0,0.0,0.0,0.0,10.0,inf,38.1,0.0,21.0,3.0,8.943333333333333,66.0,3.0,22.0,94.0,31.3,31.0,47.0,0.0,21.0
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Allrounder,109.0,85.0,4.0,2.0,5.0,1.0,5.0,54.5,128.2,23.9,21.0,,,,,,,,,,,21.2
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler,,,,,,,,,,,,3.0,6.503333333333333,53.0,7.0,7.6,60.0,8.6,29.0,54.7,1.0,
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter,51.0,48.0,3.0,3.0,8.0,1.0,1.0,17.0,106.2,74.5,16.0,,,,,,,,,,,16.0
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,20.0,16.0,1.0,1.0,3.0,0.0,3.0,20.0,125.0,60.0,16.0,,,,,,,,,,,16.0
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder,0.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,,3.0,,,,,,,,,,,3.0
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,51.0,37.0,2.0,2.0,3.0,2.0,4.0,25.5,137.8,47.1,18.0,2.0,11.165,24.0,0.0,inf,43.0,inf,7.0,29.2,0.0,18.5
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler,,,,,,,,,,,,1.0,14.25,24.0,0.0,inf,57.0,inf,7.0,29.2,0.0,
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,97.0,67.0,4.0,4.0,6.0,6.0,3.0,24.2,144.8,61.9,17.0,,,,,,,,,,,16.8
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,36.0,27.0,2.0,2.0,3.0,1.0,6.0,18.0,133.3,50.0,14.0,,,,,,,,,,,13.5
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,0.0,0.0,,0.0,0.0,0.0,9.0,,,,0.0,1.0,5.25,24.0,3.0,8.0,21.0,7.0,11.0,45.8,0.0,
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,100.0,0.0,1.0,1.0,12.0,24.0,1.0,24.0,48.0,48.0,4.0,16.7,0.0,1.0
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder,3.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,150.0,0.0,2.0,1.0,6.5,12.0,0.0,inf,13.0,inf,7.0,58.3,0.0,2.0
Steven Smith,Australia,Right hand Bat,Legbreak Googly,Middle order Batter,4.0,4.0,1.0,1.0,1.0,0.0,4.0,4.0,100.0,100.0,4.0,,,,,,,,,,,4.0
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,15.0,13.0,1.0,1.0,1.0,0.0,7.0,15.0,115.4,26.7,13.0,,,,,,,,,,,13.0
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,7.0,6.0,1.0,1.0,1.0,0.0,9.0,7.0,116.7,57.1,6.0,1.0,3.5,24.0,1.0,24.0,14.0,14.0,13.0,54.2,0.0,6.0
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,,,,,,,,,,,,1.0,7.89,19.0,1.0,19.0,25.0,25.0,7.0,36.8,0.0,
Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler,1.0,7.0,1.0,1.0,0.0,0.0,8.0,1.0,14.3,0.0,7.0,1.0,6.0,12.0,0.0,inf,12.0,inf,5.0,41.7,0.0,7.0
Rishabh Pant,India,Left hand Bat,,Wicketkeeper Batter,9.0,9.0,2.0,2.0,1.0,0.0,6.0,4.5,100.0,44.4,4.0,,,,,,,,,,,4.5
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler,,,,,,,,,,,,2.0,8.75,48.0,5.0,9.6,70.0,14.0,17.0,35.4,0.0,
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,10.0,9.0,1.0,1.0,2.0,0.0,3.0,10.0,111.1,80.0,9.0,,,,,,,,,,,9.0
